Checking models for API key: AIzaS...nI2jA

Listing available models:
CHAT MODEL: models/gemini-2.5-flash
CHAT MODEL: models/gemini-2.5-pro
CHAT MODEL: models/gemini-2.0-flash
CHAT MODEL: models/gemini-2.0-flash-001
CHAT MODEL: models/gemini-2.0-flash-exp-image-generation
CHAT MODEL: models/gemini-2.0-flash-lite-001
CHAT MODEL: models/gemini-2.0-flash-lite
CHAT MODEL: models/gemini-exp-1206
CHAT MODEL: models/gemini-2.5-flash-preview-tts
CHAT MODEL: models/gemini-2.5-pro-preview-tts
CHAT MODEL: models/gemma-3-1b-it
CHAT MODEL: models/gemma-3-4b-it
CHAT MODEL: models/gemma-3-12b-it
CHAT MODEL: models/gemma-3-27b-it
CHAT MODEL: models/gemma-3n-e4b-it
CHAT MODEL: models/gemma-3n-e2b-it
CHAT MODEL: models/gemini-flash-latest
CHAT MODEL: models/gemini-flash-lite-latest
CHAT MODEL: models/gemini-pro-latest
CHAT MODEL: models/gemini-2.5-flash-lite
CHAT MODEL: models/gemini-2.5-flash-image
CHAT MODEL: models/gemini-2.5-flash-preview-09-2025
CHAT MODEL: models/gemini-2.5-flash-lite-preview-09-2025
CHAT MODEL: models/gemini-3-pro-preview
CHAT MODEL: models/gemini-3-flash-preview
CHAT MODEL: models/gemini-3-pro-image-preview
CHAT MODEL: models/nano-banana-pro-preview
CHAT MODEL: models/gemini-robotics-er-1.5-preview
CHAT MODEL: models/gemini-2.5-computer-use-preview-10-2025
CHAT MODEL: models/deep-research-pro-preview-12-2025
EMBEDDING MODEL: models/gemini-embedding-001
OTHER MODEL: models/aqa
OTHER MODEL: models/imagen-4.0-generate-preview-06-06
OTHER MODEL: models/imagen-4.0-ultra-generate-preview-06-06
OTHER MODEL: models/imagen-4.0-generate-001
OTHER MODEL: models/imagen-4.0-ultra-generate-001
OTHER MODEL: models/imagen-4.0-fast-generate-001
OTHER MODEL: models/veo-2.0-generate-001
OTHER MODEL: models/veo-3.0-generate-001
OTHER MODEL: models/veo-3.0-fast-generate-001
OTHER MODEL: models/veo-3.1-generate-preview
OTHER MODEL: models/veo-3.1-fast-generate-preview
OTHER MODEL: models/gemini-2.5-flash-native-audio-latest
OTHER MODEL: models/gemini-2.5-flash-native-audio-preview-09-2025
OTHER MODEL: models/gemini-2.5-flash-native-audio-preview-12-2025
